"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2022,202201,2653,2022010154128,2256.8,2022000026531,250001,4,1,2256.8,0,0,1,64,2,2,200,0,0,6,64,1,10,26000,1,11
2022,202201,3137,2022000000017,74313.2,2022000031371,210101,1,1,74313.2,0,0,2,51,6,1,100,0,0,10,101,1,10,120000,1,11
2022,202201,3459,2022000020838,13218.4,2022000034591,60001,1,1,13218.4,1,0,2,47,6,1,100,0,0,10,101,1,10,52000,1,11
2022,202201,3459,2022000020838,13218.4,2022000034591,60001,1,3,24502.4,0,0,2,47,6,1,100,0,0,8,81,1,10,20000,1,11
2022,202201,3782,2022000043926,4191.2,2022000037821,110001,1,1,4352.4,1,0,2,46,4,2,200,0,0,8,81,1,10,64000,1,11
2022,202201,3943,2022000055122,22729.2,2022000039431,120201,1,1,22729.2,0,0,2,44,1,2,200,0,0,6,65,1,10,38000,1,11
2022,202201,3943,2022000055122,22729.2,2022000039431,120201,1,2,29660.8,0,0,1,48,1,2,200,0,0,6,65,1,10,50000,1,11
2022,202201,4104,2022000066625,3224.0,2022000041041,250001,1,1,3062.8,2,0,2,46,6,2,200,0,0,8,81,1,10,35000,1,11
2022,202201,4265,2022000077749,5319.6,2022000042651,280301,1,1,5319.6,2,2,1,45,1,1,100,0,0,11,115,1,10,100000,1,11
2022,202201,4265,2022000077749,5319.6,2022000042651,280301,1,2,6931.6,2,2,2,37,1,1,100,0,0,10,101,1,10,35000,1,11
2022,202201,4427,2022000089153,4674.8,2022000044271,50101,1,1,4674.8,1,0,2,55,1,1,100,0,0,10,101,1,10,48000,1,11
2022,202201,4427,2022000089153,4674.8,2022000044271,50101,1,2,6125.6,1,0,1,59,1,1,100,0,0,10,101,1,10,0,2,20
2022,202201,4427,2022000089153,4674.8,2022000044271,50101,1,3,8704.8,0,0,2,25,6,1,100,0,0,11,114,1,10,36000,1,11
2022,202201,4588,2022000100257,5158.4,2022000045881,140201,1,1,4997.2,1,1,1,37,1,6,669,0,0,11,115,1,10,74000,1,11
2022,202201,4588,2022000100257,5158.4,2022000045881,140201,1,2,3062.8,1,1,2,33,1,6,669,0,0,0,2,1,10,8000,1,11
2022,202201,4749,2022000110483,11284.0,2022000047491,260001,1,1,11445.2,1,0,2,29,1,1,100,0,0,10,101,1,10,71000,1,11
2022,202201,4749,2022000110483,11284.0,2022000047491,260001,1,2,6448.0,1,0,1,30,1,1,100,0,0,6,64,1,10,92000,1,11
2022,202201,4910,2022000120874,9349.6,2022000049101,140401,1,1,9349.6,1,0,2,44,1,2,200,0,0,7,71,1,10,15000,1,11
